"controlNumber","invTime","rho_x","rho_y","rho_xy","omega","tau","post_Inv_Length","timeLength","Sd_gap_1","Sd_gap_n"
10,40,0.5,0.1,0.1,0.5,0.5,20,60,0.1436,0.041
30,40,0.5,0.1,0.1,0.5,0.5,20,60,0.1147,0.0287
10,10,0.1,0.5,0.1,0.5,0.5,20,30,0.5041,0.1164
30,10,0.1,0.5,0.1,0.5,0.5,20,30,0.5022,0.1146
10,40,0.1,0.5,0.1,0.5,0.5,20,60,0.5077,0.1095
30,40,0.1,0.5,0.1,0.5,0.5,20,60,0.4713,0.1181
10,10,0.5,0.5,0.1,0.5,0.5,20,30,0.5987,0.1218
30,10,0.5,0.5,0.1,0.5,0.5,20,30,0.5448,0.1236
10,40,0.5,0.5,0.1,0.5,0.5,20,60,0.4947,0.1239
30,40,0.5,0.5,0.1,0.5,0.5,20,60,0.5031,0.1235
10,10,0.1,0.1,0.5,0.5,0.5,20,30,0.1598,0.0406
30,10,0.1,0.1,0.5,0.5,0.5,20,30,0.1145,0.028
10,40,0.1,0.1,0.5,0.5,0.5,20,60,0.1638,0.0411
30,40,0.1,0.1,0.5,0.5,0.5,20,60,0.1169,0.0318
10,10,0.5,0.1,0.5,0.5,0.5,20,30,0.196,0.0585
30,10,0.5,0.1,0.5,0.5,0.5,20,30,0.1617,0.0322
10,40,0.5,0.1,0.5,0.5,0.5,20,60,0.2024,0.0566
30,40,0.5,0.1,0.5,0.5,0.5,20,60,0.1386,0.0359
10,10,0.1,0.5,0.5,0.5,0.5,20,30,0.5186,0.117
30,10,0.1,0.5,0.5,0.5,0.5,20,30,0.4803,0.1197
10,40,0.1,0.5,0.5,0.5,0.5,20,60,0.5179,0.1179
30,40,0.1,0.5,0.5,0.5,0.5,20,60,0.5294,0.1276
